,fr,en
TITLE_MOVE,Deplacer,Move
TITLE_RUN,Courir,Run
TITLE_JUMP,Sauter,Jump
TITLE_SETTINGS,Paramètres,Settings
TITLE_AUTHOR,par Daymortel,by Daymortel
SETTINGS_RETURN,Retour,Back
SETTINGS_BIGTITLE,PARAMETRES,SETTINGS
SETTINGS_DIFFICULTY,Difficulté,Difficulty
SETTINGS_FULLSCREEN,Plein écran,Full screen
SETTINGS_SHOWFPS,Afficher FPS,Show FPS
SETTINGS_RUMBLE,Vibrations,Rumble
SETTINGS_VOLUME,Volume,Volume
SETTINGS_AUTORETRY,Réapp. auto.,Auto-retry
SETTINGS_CRT,Mode rétro,CRT overlay
SETTINGS_VALUE_ON,Activé,ON
SETTINGS_VALUE_OFF,Désactivé,OFF
SETTINGS_VALUE_EASY,Facile,Easy
SETTINGS_VALUE_NORMAL,Normal,Normal
SETTINGS_VALUE_HARD,Difficile,Hard
SETTINGS_INFO_DIFFICULTY,"Facile = Pièges désactivés, Difficile = Pièges activés","Easy = Traps disabled, Hard = Traps enabled"
SETTINGS_INFO_FULLSCREEN,Passe le jeu en plein écran,Switches the game to full screen
SETTINGS_INFO_SHOWFPS,Affiche le nombre d'images par secondes,Shows the framerate
SETTINGS_INFO_RUMBLE,Faire vibrer la manette à la mort du joueur,Rumble the controller when the player dies
SETTINGS_INFO_VOLUME,Règle le volume du son,Sets the sound volume
SETTINGS_INFO_AUTORETRY,Recommence le niveau à la mort du joueur,Reload the level as soon as the player dies
SETTINGS_INFO_CRT,Ajoute un joli effet d’écran cathodique,Adds a nice CRT screen effect
WORLDMAP_BIGTITLE,MONDE 1,WORLD 1
WORLDMAP_BIGTITLE2,MONDE 2,WORLD 2
WORLDMAP_LEVEL1,Niveau 1,Level 1
WORLDMAP_LEVEL2,Niveau 2,Level 2
WORLDMAP_LEVEL3,Niveau 3,Level 3
WORLDMAP_LEVEL4,Niveau 4,Level 4
WORLDMAP_DEATHCOUNT,Nombre de morts :,Death count :
WORLDMAP_INFO_LEVEL1,Débutant,Beginner
WORLDMAP_INFO_LEVEL2,Initié,Initiated
WORLDMAP_INFO_LEVEL3,Intermédiaire,Medium
WORLDMAP_INFO_LEVEL4,Confirmé,Confirmed
WORLDMAP_INFO_LEVEL5,Pro,Pro
WORLDMAP_INFO_LEVEL6,Expert,Expert
WORLDMAP_INFO_LEVEL7,Hardcore,Hardcore
WORLDMAP_INFO_LEVEL8,Légendaire,Legendary
PAUSE_CONTINUE,CONTINUER,CONTINUE
PAUSE_RESTART,RECOMMENCER,RESTART
PAUSE_QUIT,QUITTER,QUIT
GAMEOVER_NEXTLEVEL,Niveau suivant,Next level
GAMEOVER_RESTART,Recommencer,Restart
GAMEOVER_RETURN_TO_MAP,Retour à la carte,Return to map
GAMEOVER_MAINMENU,Menu principal,Main menu
KEY_SPACE,ESPACE,SPACE
WORLDMAP_WORLD1,Aller au monde 1,Go to world 1
WORLDMAP_WORLD2,Aller au monde 2,Go to world 2
LEVELSIGN_LEVEL,Niveau,Level
SYSTEM_QUIT,Quitter,Quit
CHEATS_GODMODE,Invinciblilité,God Mode
CHEATS_HYPERSPEED,Hypervitesse,Hyperspeed
CHEATS_INFINITETIME,Temps infini,Infinite time
CHEATS_MOONWALK,Moonwalk,Moonwalk
CHEATS_MOONJUMP,Saut lunaire,Moon jump
CHEATS_INFO_GODMODE,Daymortel est invulnérable !,Daymortel is invincible !
CHEATS_INFO_HYPERSPEED,Double la vitesse de Daymortel,Doubles Daymortel’s speed
CHEATS_INFO_INFINITETIME,Prenez votre temps !,Take your time !
CHEATS_INFO_MOONWALK,Inverse le sprite de Daymortel,Reverse Daymortel’s sprite
CHEATS_INFO_MOONJUMP,Maintenez A pour faire voler Daymortel !,Hold A to fly !
LEVEL_FINISHED1,NIVEAU,LEVEL
LEVEL_FINISHED2,TERMINE,CLEARED
